Filename;Line Number;Function Name;Call Count;Cumulative Time;Internal Time
~;0;<pandas._libs.lib.is_all_arraylike>;4;9.84e-06;9.84e-06
<frozen codecs>;260;__init__;1;9.7e-07;9.7e-07
construction.py;482;<listcomp>;1;9.55e-07;7,51E+08
generic.py;6674;fillna;1;9.33e-05;9,82E+09
pathlib.py;536;__str__;1;8.74e-07;8.74e-07
~;0;<method 'is_integer' of 'float' objects>;4;8.16e-07;8.16e-07
multiarray.py;668;result_type;4;8.01e-07;8.01e-07
base.py;3209;_validate_sort_keyword;2;8.01e-07;8.01e-07
dtypes.py;1185;construct_from_string;2;7.99e-06;5,66E+09
dataclasses.py;1256;is_dataclass;2;7.77e-06;3,50E-03
array_ops.py;514;_bool_arith_check;3;7.76e-06;2,55E-03
~;0;<built-in method _codecs.lookup_error>;1;7.37e-07;7.37e-07
~;0;<method 'disable' of '_lsprof.Profiler' objects>;1;7.37e-07;7.37e-07
readers.py;2132;_extract_dialect;1;7.37e-07;6,04E+08
base_parser.py;209;<setcomp>;1;7.23e-07;7.23e-07
~;0;<method '_set_freq' of 'pandas._libs.tslibs.timestamps._Timestamp' objects>;2;7.13e-07;7.13e-07
concat.py;109;<setcomp>;8;7.13e-06;6,76E-03
groupby.py;1092;_reset_group_selection;1;7.08e-07;7.08e-07
rolling.py;196;_validate;1;6.6e-06;2,97E-03
~;0;<built-in method sys.getfilesystemencoding>;1;6.64e-07;6.64e-07
base.py;204;_selected_obj;1;6.15e-07;6.15e-07
~;0;<built-in method gc.get_referents>;1;6.13e-07;6.13e-07
shape_base.py;19;_atleast_1d_dispatcher;3;5.67e-07;5.67e-07
generic.py;1721;<genexpr>;2;5.64e-07;5.64e-07
~;0;<method 'encode' of 'str' objects>;1;5.06e-07;5.06e-07
readers.py;517;validate_integer;2;4.96e-07;4.96e-07
~;0;<method 'toordinal' of 'datetime.date' objects>;2;4.93e-07;4.93e-07
base_parser.py;924;_validate_usecols_arg;1;4.92e-07;4.92e-07
common.py;178;not_none;4;4.92e-06;4.92e-06
api.py;281;<listcomp>;2;3.94e-07;3.94e-07
fromnumeric.py;1888;_nonzero_dispatcher;1;3.92e-07;3.92e-07
range.py;378;inferred_type;1;3.47e-07;3.47e-07
fromnumeric.py;2950;_prod_dispatcher;1;3.32e-07;3.32e-07
base.py;728;_constructor;6;3.27e-06;3.27e-06
contextlib.py;754;__enter__;1;2.68e-07;2.68e-07
objects.py;46;__init__;1;2.42e-06;2,02E+10
~;0;<built-in method builtins.ord>;1;2.33e-07;2.33e-07
~;0;<method 'weekday' of 'datetime.date' objects>;1;2.28e-07;2.28e-07
numeric.py;216;_should_fallback_to_positional;1;2.28e-07;2.28e-07
series.py;1274;_clear_item_cache;11;1.9e-06;1.9e-06
readers.py;1812;__enter__;1;1.98e-07;1.98e-07
fromnumeric.py;2183;_sum_dispatcher;1;1.91e-07;1.91e-07
numeric.py;418;_engine_type;1;1.52e-06;1.52e-06
base_parser.py;229;_has_complex_date_col;1;1.24e-06;9,83E+08
base.py;588;_dtype_to_subclass;65507;0.988282885;0.272704616
generic.py;3908;xs;65457;0.984582562;0.162908517
utils.py;127;check_setitem_lengths;261824;0.962929969;0.446935214
~;0;<method 'nonzero' of 'numpy.ndarray' objects>;65484;0.958229549;0.958229549
series.py;966;__getitem__;131670;0.941941514;0.25808187600000004
_ufunc_config.py;132;geterr;396242;0.9045474330000001;0.8405884320000001
managers.py;1917;from_blocks;196397;0.8968604910000001;0.47549589600000003
numeric.py;2407;array_equal;65457;0.8794248520000001;0.363002942
common.py;1556;get_dtype;787504;0.8576885670000001;0.49210770200000004
numeric.py;132;_ensure_array;65472;0.837162391;0.311231237
blocks.py;2186;check_ndim;261930;0.812990753;0.45638321400000004
missing.py;699;is_valid_na_for_dtype;130994;0.8091570490000001;0.354611659
base.py;58;_validate_set_axis;261941;0.79572111;0.27569930000000004
generic.py;5888;__getattr__;655598;0.792198811;0.7917595310000001
common.py;1154;needs_i8_conversion;330013;0.776159585;0.302872119
utils.py;66;is_list_like_indexer;458196;0.7602245040000001;0.294744489
datetimes.py;541;tzinfo;458195;0.7477887910000001;0.24110275900000003
