rdered by: standard name;;;;;
;;;;;
ncalls;tottime;percall;cumtime;percall;filename:lineno(function)
131779/663;23    0.4;86    0.;000   16.;533    0.;000 indexing.py:1059(__getitem__)
65515/6550;7    0.74;6    0.0;00    3.3;86    0.0;00 base.py:430(__new__)
261941;0.216;0.000;0.995;0.000;managers.py:228(set_axis)
65457;0.154;0.000;0.959;0.000;generic.py:3908(xs)
261824;0.439;0.000;0.940;0.000;utils.py:127(check_setitem_lengths)
65484;0.935;0.000;0.935;0.000;{method 'nonzero' of 'numpy.ndarray' objects}
65507;0.247;0.000;0.935;0.000;base.py:588(_dtype_to_subclass)
396242;0.815;0.000;0.878;0.000;_ufunc_config.py:132(geterr)
196397;0.459;0.000;0.863;0.000;managers.py:1917(from_blocks)
65457;0.355;0.000;0.856;0.000;numeric.py:2407(array_equal)
787504;0.474;0.000;0.821;0.000;common.py:1556(get_dtype)
65472;0.292;0.000;0.801;0.000;numeric.py:132(_ensure_array)
261930;0.447;0.000;0.793;0.000;blocks.py:2186(check_ndim)
655598;0.780;0.000;0.780;0.000;generic.py:5888(__getattr__)
261941;0.271;0.000;0.779;0.000;base.py:58(_validate_set_axis)
130994;0.335;0.000;0.771;0.000;missing.py:699(is_valid_na_for_dtype)
330013;0.294;0.000;0.749;0.000;common.py:1154(needs_i8_conversion)
458196;0.286;0.000;0.748;0.000;utils.py:66(is_list_like_indexer)
458195;0.237;0.000;0.732;0.000;datetimes.py:541(tzinfo)
65457;0.107;0.000;0.712;0.000;common.py:1097(is_datetimelike_v_numeric)
720084;0.693;0.000;0.693;0.000;{method 'view' of 'numpy.ndarray' objects}
30/24;0.000;0.000;0.690;0.029;_decorators.py:323(wrapper)
3273803;0.643;0.000;0.643;0.000;datetimes.py:495(dtype)
261981;0.385;0.000;0.634;0.000;blocks.py:2091(maybe_coerce_values)
261983;0.503;0.000;0.625;0.000;blocks.py:2120(get_block_type)
261936;0.464;0.000;0.610;0.000;config.py:597(_get_root)
130970;0.439;0.000;0.608;0.000;blocks.py:236(make_block_same_class)
261931;0.252;0.000;0.608;0.000;construction.py:861(is_empty_data)
130940;0.216;0.000;0.608;0.000;algorithms.py:1484(take)
198178;0.382;0.000;0.602;0.000;base.py:690(_simple_new)
328311;0.552;0.000;0.596;0.000;base.py:5254(__contains__)
5;0.000;0.000;0.575;0.115;accessor.py:121(wrapper)
5;0.000;0.000;0.574;0.115;object_array.py:39(_str_map)
5;0.088;0.018;0.560;0.112;{pandas._libs.lib.map_infer_mask}
392755;0.243;0.000;0.554;0.000;datetimelike.py:295(asi8)
851255;0.394;0.000;0.549;0.000;range.py:946(__len__)
130960;0.347;0.000;0.549;0.000;numeric.py:1348(normalize_axis_tuple)
130920;0.462;0.000;0.548;0.000;datetimes.py:449(_unbox_scalar)
261933;0.161;0.000;0.545;0.000;config.py:650(_warn_if_deprecated)
65467;0.221;0.000;0.532;0.000;base.py:742(__iter__)
523869;0.524;0.000;0.524;0.000;config.py:611(_get_deprecated_option)
198101;0.356;0.000;0.507;0.000;_mixins.py:283(__getitem__)
196465;0.211;0.000;0.486;0.000;construction.py:676(_sanitize_ndim)
196456;0.158;0.000;0.479;0.000;common.py:566(require_length_match)
65466;0.062;0.000;0.472;0.000;{method 'all' of 'numpy.ndarray' objects}
327767;0.465;0.000;0.465;0.000;{method 'split' of 'str' objects}
589370;0.357;0.000;0.464;0.000;construction.py:461(ensure_wrapped_if_datetimelike)
131000;0.304;0.000;0.454;0.000;construction.py:744(_try_cast)
196406;0.095;0.000;0.452;0.000;dispatch.py:13(should_extension_dispatch)
132777;0.188;0.000;0.445;0.000;common.py:1246(is_float_dtype)
131666;0.112;0.000;0.439;0.000;series.py:1072(_get_value)
130930;0.216;0.000;0.431;0.000;common.py:99(_maybe_match_name)
131015;0.216;0.000;0.421;0.000;common.py:585(is_dtype_equal)
788078;0.312;0.000;0.420;0.000;common.py:362(apply_if_callable)
720390;0.312;0.000;0.417;0.000;base.py:925(__len__)
1642670;0.413;0.000;0.413;0.000;{pandas._libs.lib.is_scalar}
65466;0.047;0.000;0.410;0.000;_methods.py:61(_all)
1;0.003;0.003;0.409;0.409;<ipython-input-131-21af78044bcb>:194(process_data)
65508;0.162;0.000;0.407;0.000;base.py:54(shape)
526455;0.405;0.000;0.405;0.000;flags.py:49(__init__)
65472;0.094;0.000;0.402;0.000;_mixins.py:154(take)
196442;0.279;0.000;0.382;0.000;blocks.py:2250(extend_blocks)
1114624;0.371;0.000;0.371;0.000;generic.py:550(_get_axis_number)
396242;0.371;0.000;0.371;0.000;{built-in method numpy.seterrobj}
130920;0.162;0.000;0.369;0.000;<__array_function__ internals>:177(empty_like)
130912;0.126;0.000;0.367;0.000;indexing.py:2629(is_label_like)
1;0.000;0.000;0.362;0.362;accessor.py:780(split)
1;0.000;0.000;0.362;0.362;object_array.py:309(_str_split)
261894;0.248;0.000;0.360;0.000;common.py:1433(is_extension_array_dtype)
460950;0.358;0.000;0.358;0.000;flags.py:85(allows_duplicate_labels)
196368;0.095;0.000;0.351;0.000;indexing.py:2247(<genexpr>)
196369;0.228;0.000;0.349;0.000;inference.py:363(is_sequence)
65469;0.144;0.000;0.343;0.000;datetimelike.py:560(copy)
65489;0.134;0.000;0.343;0.000;blocks.py:2266(ensure_block_shape)
131860;0.200;0.000;0.341;0.000;base.py:3754(get_loc)
65830;0.021;0.000;0.340;0.000;object_array.py:340(<lambda>)
65460;0.247;0.000;0.337;0.000;datetimes.py:265(_simple_new)
1967878;0.336;0.000;0.336;0.000;{built-in method builtins.hash}
65526;0.160;0.000;0.324;0.000;inference.py:266(is_dict_like)
65456;0.091;0.000;0.319;0.000;indexing.py:881(_is_nested_tuple_indexer)
130924;0.128;0.000;0.310;0.000;series.py:846(__array__)
525664;0.211;0.000;0.306;0.000;common.py:148(<lambda>)
458406;0.216;0.000;0.296;0.000;base.py:7277(ensure_index)
261881;0.193;0.000;0.283;0.000;common.py:1751(pandas_dtype)
65460;0.079;0.000;0.270;0.000;<__array_function__ internals>:177(ndim)
65456;0.171;0.000;0.265;0.000;indexing.py:770(_ensure_listlike_indexer)
